buffer_size,time
1,0.301662
2,0.406159
3,0.478697
4,0.584495
5,0.689422
4,0.69058
5,0.785733
6,0.879916
7,0.987884
8,1.07391
9,1.173642
10,1.272786
11,1.375062
12,1.450066
13,1.583146
12,1.699174
13,1.711058
14,1.806165
15,1.922886
16,2.030104
17,2.1384
18,2.239443
19,2.349133
20,2.468624
21,2.543135
22,2.641581
21,2.700505
22,2.727808
23,2.833447
24,2.933805
25,3.029831
26,3.11698
27,3.237799
28,3.339912
29,3.427064
30,3.527545
31,3.63069
30,3.702044
31,3.732135
32,3.83742
33,4.002884
34,4.105524
35,4.22946
36,4.366381
37,4.498721
38,4.622976
37,4.704044
38,4.753379
39,4.8943
40,5.642514
39,5.705295
40,6.399428
39,6.706686
40,7.145577
39,7.708087
40,7.873183
41,8.580481
40,8.709357
41,9.045793
42,9.514708
41,9.710786
42,9.891152
41,10.712243
40,11.713693
39,12.714982
38,13.716561
37,14.723084
38,14.75552
37,15.724417
36,16.725869
35,17.726975
34,18.72852
33,19.730001
34,19.855736
35,20.164113
34,20.730958
33,21.732437
32,22.733797
31,23.734961
32,24.672208
31,24.736251
30,25.738568
29,26.739039
30,27.095595
31,27.147617
32,27.268038
33,27.321596
34,27.385906
35,27.461349
36,27.635411
35,27.741308
36,27.755548
37,27.813437
38,27.882602
39,27.977902
40,28.063592
41,28.281115
42,28.360803
43,28.464733
44,28.543035
45,28.629084
46,28.696123
45,28.74303
46,28.780295
47,28.853889
48,28.930848
49,29.024822
50,29.102777
51,29.368639
52,29.436111
53,29.516277
54,29.63086
55,29.704452
54,29.744671
55,29.777941
56,29.851855
57,29.931945
58,30.176426
59,30.371527
60,30.594038
59,30.746108
60,30.925739
59,31.747166
60,32.11786
59,32.750468
60,33.116718
59,33.752258
60,34.123306
59,34.753651
60,35.118618
59,35.756954
58,36.759082
57,37.7605
56,38.761786
55,39.763003
54,40.76428
55,40.815535
56,40.908923
57,41.024433
58,41.117282
59,41.221161
60,41.324758
59,41.765536
60,41.886582
59,42.766924
60,42.895464
59,43.768268
60,43.881414
59,44.769988
60,44.86659
59,45.770999
60,46.41324
59,46.772496
60,47.658196
59,47.774332
60,48.724057
59,48.780272
60,49.735397
59,49.782073
58,50.78699
57,51.788322
56,52.790015
55,53.791022
54,54.792314
55,55.080503
56,55.515735
55,55.793936
56,56.112717
57,56.779757
56,56.794961
57,57.365434
56,57.796316
57,57.94562
58,58.561041
57,58.797793
58,59.183467
59,59.784389
58,59.799007
59,60.357331
58,60.800541
57,61.80257
56,62.804441
55,63.806976
54,64.808394
55,65.515672
54,65.809666
55,66.068612
56,66.678454
55,66.811139
56,67.291457
55,67.812755
56,67.952019
57,68.564924
56,68.8142
57,69.119651
58,69.711609
57,69.815062
58,70.27836
57,70.816375
56,71.818028
55,72.819017
54,73.820394
53,74.821949
54,75.413912
53,75.82308
54,75.992584
55,76.596005
54,76.824827
55,77.219116
54,77.826289
55,77.837407
56,78.458838
55,78.829252
56,79.059633
57,79.683763
56,79.830599
57,80.30551
56,80.832194
55,81.834041
54,82.835104
53,83.836462
52,84.837756
53,85.471667
52,85.838968
53,86.10026
54,86.717104
53,86.840348
54,87.356935
53,87.841716
54,87.971848
55,88.613087
54,88.843058
55,89.282695
